% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	2	1	1.76517e+06	0
0.042	1	1	2	1.76517e+06	0
0.081	1	2	1	1.76517e+06	0
0.082	1	1	2	1.76517e+06	0
0.121	1	2	1	1.76517e+06	0
0.122	1	1	2	1.76517e+06	0
0.161	1	2	1	1.76517e+06	0
0.162	1	1	2	1.76517e+06	0
0.201	1	2	1	1.76517e+06	0
0.202	1	1	2	1.76517e+06	0
0.241	1	2	1	1.76517e+06	0
0.242	1	1	2	1.76517e+06	0
0.281	1	2	1	1.76517e+06	0
0.282	1	1	2	1.76517e+06	0
0.321	1	2	1	1.76517e+06	0
0.322	1	1	2	1.76517e+06	0
0.361	1	2	1	1.76517e+06	0
0.362	1	1	2	1.76517e+06	0
0.401	1	2	1	1.76517e+06	0
0.402	1	1	2	1.76517e+06	0
0.441	1	2	1	1.76517e+06	0
0.442	1	1	2	1.76517e+06	0
0.481	1	2	1	1.76517e+06	0
0.482	1	1	2	1.76517e+06	0
0.521	1	2	1	1.76517e+06	0
0.522	1	1	2	1.76517e+06	0
0.561	1	2	1	1.76517e+06	0
0.562	1	1	2	1.76517e+06	0
0.601	1	2	1	1.76517e+06	0
0.602	1	1	2	1.76517e+06	0
0.641	1	2	1	1.76517e+06	0
0.642	1	1	2	1.76517e+06	0
0.681	1	2	1	1.76517e+06	0
0.682	1	1	2	1.76517e+06	0
0.721	1	2	1	1.76517e+06	0
0.722	1	1	2	1.76517e+06	0
0.761	1	2	1	1.76517e+06	0
0.762	1	1	2	1.76517e+06	0
0.801	1	2	1	1.76517e+06	0
0.802	1	1	2	1.76517e+06	0
0.841	1	2	1	1.76517e+06	0
0.842	1	1	2	1.76517e+06	0
0.881	1	2	1	1.76517e+06	0
0.882	1	1	2	1.76517e+06	0
0.921	1	2	1	1.76517e+06	0
0.922	1	1	2	1.76517e+06	0
0.961	1	2	1	1.76517e+06	0
0.962	1	1	2	1.76517e+06	0
1.001	1	2	1	1.76517e+06	0
1.002	1	1	2	1.76517e+06	0
1.041	1	2	1	1.76517e+06	0
1.042	1	1	2	1.76517e+06	0
1.081	1	2	1	1.76517e+06	0
1.082	1	1	2	1.76517e+06	0
1.121	1	2	1	1.76517e+06	0
1.122	1	1	2	1.76517e+06	0
1.161	1	2	1	1.76517e+06	0
1.162	1	1	2	1.76517e+06	0
1.201	1	2	1	1.76517e+06	0
1.202	1	1	2	1.76517e+06	0
1.241	1	2	1	1.76517e+06	0
1.242	1	1	2	1.76517e+06	0
1.281	1	2	1	1.76517e+06	0
1.282	1	1	2	1.76517e+06	0
1.321	1	2	1	1.76517e+06	0
1.322	1	1	2	1.76517e+06	0
1.361	1	2	1	1.76517e+06	0
1.362	1	1	2	1.76517e+06	0
1.401	1	2	1	1.76517e+06	0
1.402	1	1	2	1.76517e+06	0
1.441	1	2	1	1.76517e+06	0
1.442	1	1	2	1.76517e+06	0
1.481	1	2	1	1.76517e+06	0
1.482	1	1	2	1.76517e+06	0
1.521	1	2	1	1.76517e+06	0
1.522	1	1	2	1.76517e+06	0
1.561	1	2	1	1.76517e+06	0
1.562	1	1	2	1.76517e+06	0
1.601	1	2	1	1.76517e+06	0
1.602	1	1	2	1.76517e+06	0
1.641	1	2	1	1.76517e+06	0
1.642	1	1	2	1.76517e+06	0
1.681	1	2	1	1.76517e+06	0
1.682	1	1	2	1.76517e+06	0
1.721	1	2	1	1.76517e+06	0
1.722	1	1	2	1.76517e+06	0
1.761	1	2	1	1.76517e+06	0
1.762	1	1	2	1.76517e+06	0
1.801	1	2	1	1.76517e+06	0
1.802	1	1	2	1.76517e+06	0
1.841	1	2	1	1.76517e+06	0
1.842	1	1	2	1.76517e+06	0
1.881	1	2	1	1.76517e+06	0
1.882	1	1	2	1.76517e+06	0
1.921	1	2	1	1.76517e+06	0
1.922	1	1	2	1.76517e+06	0
1.961	1	2	1	1.76517e+06	0
1.962	1	1	2	1.76517e+06	0
2.001	1	2	1	1.76517e+06	0
2.002	1	1	2	1.76517e+06	0
2.041	1	2	1	1.76517e+06	0
2.042	1	1	2	1.76517e+06	0
2.081	1	2	1	1.76517e+06	0
2.082	1	1	2	1.76517e+06	0
2.121	1	2	1	1.76517e+06	0
2.122	1	1	2	1.76517e+06	0
2.161	1	2	1	1.76517e+06	0
2.162	1	1	2	1.76517e+06	0
2.201	1	2	1	1.76517e+06	0
2.202	1	1	2	1.76517e+06	0
2.241	1	2	1	1.76517e+06	0
2.242	1	1	2	1.76517e+06	0
2.281	1	2	1	1.76517e+06	0
2.282	1	1	2	1.76517e+06	0
2.321	1	2	1	1.76517e+06	0
2.322	1	1	2	1.76517e+06	0
2.361	1	2	1	1.76517e+06	0
2.362	1	1	2	1.76517e+06	0
2.401	1	2	1	1.76517e+06	0
2.402	1	1	2	1.76517e+06	0
2.441	1	2	1	1.76517e+06	0
2.442	1	1	2	1.76517e+06	0
2.481	1	2	1	1.76517e+06	0
2.482	1	1	2	1.76517e+06	0
2.521	1	2	1	1.76517e+06	0
2.522	1	1	2	1.76517e+06	0
2.561	1	2	1	1.76517e+06	0
2.562	1	1	2	1.76517e+06	0
2.601	1	2	1	1.76517e+06	0
2.602	1	1	2	1.76517e+06	0
2.641	1	2	1	1.76517e+06	0
2.642	1	1	2	1.76517e+06	0
2.681	1	2	1	1.76517e+06	0
2.682	1	1	2	1.76517e+06	0
2.721	1	2	1	1.76517e+06	0
2.722	1	1	2	1.76517e+06	0
2.761	1	2	1	1.76517e+06	0
2.762	1	1	2	1.76517e+06	0
2.801	1	2	1	1.76517e+06	0
2.802	1	1	2	1.76517e+06	0
2.841	1	2	1	1.76517e+06	0
2.842	1	1	2	1.76517e+06	0
2.881	1	2	1	1.76517e+06	0
2.882	1	1	2	1.76517e+06	0
2.921	1	2	1	1.76517e+06	0
2.922	1	1	2	1.76517e+06	0
2.961	1	2	1	1.76517e+06	0
2.962	1	1	2	1.76517e+06	0
3.001	1	2	1	1.76517e+06	0
3.002	1	1	2	1.76517e+06	0
3.041	1	2	1	1.76517e+06	0
3.042	1	1	2	1.76517e+06	0
3.081	1	2	1	1.76517e+06	0
3.082	1	1	2	1.76517e+06	0
3.121	1	2	1	1.76517e+06	0
3.122	1	1	2	1.76517e+06	0
3.161	1	2	1	1.76517e+06	0
3.162	1	1	2	1.76517e+06	0
3.201	1	2	1	1.76517e+06	0
3.202	1	1	2	1.76517e+06	0
3.241	1	2	1	1.76517e+06	0
3.242	1	1	2	1.76517e+06	0
3.281	1	2	1	1.76517e+06	0
3.282	1	1	2	1.76517e+06	0
3.321	1	2	1	1.76517e+06	0
3.322	1	1	2	1.76517e+06	0
3.361	1	2	1	1.76517e+06	0
3.362	1	1	2	1.76517e+06	0
3.401	1	2	1	1.76517e+06	0
3.402	1	1	2	1.76517e+06	0
3.441	1	2	1	1.76517e+06	0
3.442	1	1	2	1.76517e+06	0
3.481	1	2	1	1.76517e+06	0
3.482	1	1	2	1.76517e+06	0
3.521	1	2	1	1.76517e+06	0
3.522	1	1	2	1.76517e+06	0
3.561	1	2	1	1.76517e+06	0
3.562	1	1	2	1.76517e+06	0
3.601	1	2	1	1.76517e+06	0
3.602	1	1	2	1.76517e+06	0
3.641	1	2	1	1.76517e+06	0
3.642	1	1	2	1.76517e+06	0
3.681	1	2	1	1.76517e+06	0
3.682	1	1	2	1.76517e+06	0
3.721	1	2	1	1.76517e+06	0
3.722	1	1	2	1.76517e+06	0
3.761	1	2	1	1.76517e+06	0
3.762	1	1	2	1.76517e+06	0
3.801	1	2	1	1.76517e+06	0
3.802	1	1	2	1.76517e+06	0
3.841	1	2	1	1.76517e+06	0
3.842	1	1	2	1.76517e+06	0
3.881	1	2	1	1.76517e+06	0
3.882	1	1	2	1.76517e+06	0
3.921	1	2	1	1.76517e+06	0
3.922	1	1	2	1.76517e+06	0
3.961	1	2	1	1.76517e+06	0
3.962	1	1	2	1.76517e+06	0
4.001	1	2	1	1.76517e+06	0
4.002	1	1	2	1.76517e+06	0
4.041	1	2	1	1.76517e+06	0
4.042	1	1	2	1.76517e+06	0
4.081	1	2	1	1.76517e+06	0
4.082	1	1	2	1.76517e+06	0
4.121	1	2	1	1.76517e+06	0
4.122	1	1	2	1.76517e+06	0
4.161	1	2	1	1.76517e+06	0
4.162	1	1	2	1.76517e+06	0
4.201	1	2	1	1.76517e+06	0
4.202	1	1	2	1.76517e+06	0
4.241	1	2	1	1.76517e+06	0
4.242	1	1	2	1.76517e+06	0
4.281	1	2	1	1.76517e+06	0
